tanggal,pm10,so2,co,o3,no2,max,critical,kategori
12/14/22,62,20,9,64,9,64,O3,SEDANG
12/15/22,51,15,8,49,6,51,PM10,SEDANG
12/16/22,59,17,14,57,11,59,PM10,SEDANG
12/17/22,50,24,11,62,7,62,O3,SEDANG
12/18/22,54,21,14,55,10,55,O3,SEDANG
12/19/22,55,16,8,55,7,55,PM10,SEDANG
12/20/22,61,23,8,56,12,61,PM10,SEDANG
12/21/22,66,20,9,57,9,66,PM10,SEDANG
12/22/22,59,19,8,62,8,62,O3,SEDANG
12/23/22,68,20,11,74,9,74,O3,SEDANG
12/24/22,62,19,11,64,9,64,O3,SEDANG
12/25/22,42,21,14,56,9,56,O3,SEDANG
12/26/22,54,17,9,57,9,57,O3,SEDANG
12/27/22,33,23,9,79,12,79,O3,SEDANG
12/28/22,56,18,16,62,17,62,O3,SEDANG
12/29/22,33,22,8,68,6,68,O3,SEDANG
12/30/22,50,18,17,65,11,65,O3,SEDANG
12/31/22,48,12,9,134,8,134,O3,TIDAK SEHAT
